Team,League,Year,RS,RA,W,OBP,SLG,BA,Playoffs,RankSeason,RankPlayoffs,G,OOBP,OSLG
SDP,NL,1976,570,662,73,0.31,0.337,0.247,0,,,162,0.317,0.364
SFG,NL,1976,595,686,74,0.312,0.345,0.246,0,,,162,0.32,0.362
STL,NL,1976,629,671,72,0.323,0.359,0.26,0,,,162,0.326,0.377
TEX,AL,1976,616,652,76,0.321,0.341,0.25,0,,,162,0.315,0.376
ATL,NL,1975,583,739,67,0.313,0.346,0.244,0,,,161,0.335,0.395
BAL,AL,1975,682,553,90,0.326,0.373,0.252,0,,,159,0.302,0.362
BOS,AL,1975,796,709,95,0.344,0.417,0.275,1,3.0,2.0,160,0.322,0.402
CAL,AL,1975,628,723,72,0.322,0.328,0.246,0,,,161,0.326,0.393
CHC,NL,1975,712,827,75,0.338,0.368,0.259,0,,,162,0.341,0.412
CHW,AL,1975,655,703,75,0.331,0.358,0.255,0,,,161,0.343,0.405
CIN,NL,1975,840,586,108,0.353,0.401,0.271,1,1.0,1.0,162,0.315,0.375
CLE,AL,1975,688,703,79,0.327,0.392,0.261,0,,,159,0.33,0.399
DET,AL,1975,570,786,57,0.301,0.366,0.249,0,,,159,0.336,0.412
HOU,NL,1975,664,711,64,0.32,0.359,0.254,0,,,162,0.339,0.398
KCR,AL,1975,710,649,91,0.333,0.394,0.261,0,,,162,0.317,0.376
LAD,NL,1975,648,534,88,0.325,0.365,0.248,0,,,162,0.281,0.337
MIL,AL,1975,675,792,68,0.32,0.389,0.25,0,,,162,0.345,0.416
MIN,AL,1975,724,736,76,0.341,0.386,0.271,0,,,159,0.331,0.406
MON,NL,1975,601,690,75,0.317,0.348,0.244,0,,,162,0.334,0.388
NYM,NL,1975,646,625,82,0.319,0.361,0.256,0,,,162,0.315,0.366
NYY,AL,1975,681,588,83,0.325,0.382,0.264,0,,,160,0.311,0.37
OAK,AL,1975,758,606,98,0.333,0.391,0.254,1,2.0,3.0,162,0.303,0.357
PHI,NL,1975,735,694,86,0.342,0.402,0.269,0,,,162,0.313,0.373
PIT,NL,1975,712,565,92,0.323,0.402,0.263,1,4.0,3.0,161,0.308,0.347
SDP,NL,1975,552,683,71,0.31,0.335,0.244,0,,,162,0.323,0.375
SFG,NL,1975,659,671,80,0.333,0.365,0.259,0,,,161,0.331,0.379
STL,NL,1975,662,689,82,0.327,0.375,0.273,0,,,163,0.325,0.375
TEX,AL,1975,714,733,79,0.33,0.371,0.256,0,,,162,0.323,0.388
ATL,NL,1974,661,563,88,0.319,0.363,0.249,0,,,163,0.303,0.355
BAL,AL,1974,659,612,91,0.322,0.37,0.256,1,2.0,3.0,162,0.31,0.367
BOS,AL,1974,696,661,84,0.333,0.377,0.264,0,,,162,0.317,0.387
CAL,AL,1974,618,657,68,0.321,0.356,0.254,0,,,163,0.329,0.386
CHC,NL,1974,669,826,66,0.327,0.365,0.251,0,,,162,0.339,0.404
CHW,AL,1974,684,721,80,0.33,0.389,0.268,0,,,163,0.329,0.388
CIN,NL,1974,776,631,98,0.343,0.394,0.26,0,,,163,0.31,0.374
CLE,AL,1974,662,694,77,0.311,0.37,0.255,0,,,162,0.317,0.388
DET,AL,1974,620,768,72,0.303,0.366,0.247,0,,,162,0.334,0.409
HOU,NL,1974,653,632,81,0.322,0.378,0.263,0,,,162,0.327,0.374
KCR,AL,1974,667,662,77,0.327,0.364,0.259,0,,,162,0.318,0.37
LAD,NL,1974,798,561,102,0.342,0.401,0.272,1,1.0,2.0,162,0.291,0.352
MIL,AL,1974,647,660,76,0.309,0.369,0.244,0,,,162,0.323,0.393
MIN,AL,1974,673,669,82,0.336,0.378,0.272,0,,,163,0.321,0.388
MON,NL,1974,662,657,79,0.335,0.35,0.254,0,,,161,0.316,0.371
NYM,NL,1974,572,646,71,0.311,0.329,0.235,0,,,162,0.315,0.368
NYY,AL,1974,671,623,89,0.324,0.368,0.263,0,,,162,0.32,0.378
OAK,AL,1974,689,551,90,0.321,0.373,0.247,1,3.0,1.0,162,0.299,0.352
PHI,NL,1974,676,701,80,0.32,0.373,0.261,0,,,162,0.336,0.392
PIT,NL,1974,751,657,88,0.335,0.391,0.274,1,4.0,3.0,162,0.319,0.368
SDP,NL,1974,541,830,60,0.302,0.33,0.229,0,,,162,0.353,0.414
SFG,NL,1974,634,723,72,0.322,0.358,0.252,0,,,162,0.321,0.382
STL,NL,1974,677,643,86,0.331,0.365,0.265,0,,,161,0.325,0.373
TEX,AL,1974,690,698,83,0.336,0.377,0.272,0,,,161,0.315,0.387
ATL,NL,1973,799,774,76,0.339,0.427,0.266,0,,,162,0.328,0.402
BAL,AL,1973,754,561,97,0.345,0.389,0.266,1,2.0,3.0,162,0.299,0.366
BOS,AL,1973,738,647,89,0.338,0.401,0.267,0,,,162,0.32,0.404
CAL,AL,1973,629,657,79,0.318,0.348,0.253,0,,,162,0.321,0.377
CHC,NL,1973,614,655,77,0.32,0.357,0.247,0,,,161,0.318,0.388
CHW,AL,1973,652,705,77,0.324,0.372,0.256,0,,,162,0.333,0.398
CIN,NL,1973,741,621,99,0.332,0.383,0.254,1,1.0,3.0,162,0.313,0.379
CLE,AL,1973,680,826,71,0.315,0.387,0.256,0,,,162,0.34,0.427
DET,AL,1973,642,674,85,0.32,0.39,0.254,0,,,162,0.323,0.406
HOU,NL,1973,681,672,82,0.312,0.376,0.251,0,,,162,0.32,0.377
KCR,AL,1973,755,752,88,0.339,0.381,0.261,0,,,162,0.343,0.405
LAD,NL,1973,675,565,95,0.323,0.371,0.263,0,,,162,0.289,0.354
MIL,AL,1973,708,731,74,0.325,0.388,0.253,0,,,162,0.337,0.402
MIN,AL,1973,738,692,81,0.342,0.393,0.27,0,,,162,0.322,0.388
MON,NL,1973,668,702,79,0.34,0.364,0.251,0,,,162,0.33,0.393
NYM,NL,1973,608,588,82,0.315,0.338,0.246,1,4.0,2.0,161,0.303,0.367
NYY,AL,1973,641,610,80,0.322,0.378,0.261,0,,,162,0.31,0.372
OAK,AL,1973,758,615,94,0.333,0.389,0.26,1,3.0,1.0,162,0.303,0.379
PHI,NL,1973,642,717,71,0.31,0.371,0.249,0,,,162,0.336,0.402
PIT,NL,1973,704,693,80,0.315,0.405,0.261,0,,,162,0.325,0.382
SDP,NL,1973,548,770,60,0.296,0.351,0.244,0,,,162,0.329,0.408
SFG,NL,1973,739,702,88,0.335,0.407,0.262,0,,,162,0.315,0.389
STL,NL,1973,643,603,81,0.325,0.357,0.259,0,,,162,0.306,0.361
TEX,AL,1973,619,844,57,0.318,0.361,0.255,0,,,162,0.351,0.422
ATL,NL,1972,628,730,70,0.328,0.382,0.258,0,,,155,0.327,0.41
BAL,AL,1972,519,430,80,0.302,0.339,0.229,0,,,154,0.278,0.326
BOS,AL,1972,640,620,85,0.318,0.376,0.248,0,,,155,0.317,0.374
CAL,AL,1972,454,533,75,0.293,0.33,0.242,0,,,155,0.306,0.351
CHC,NL,1972,685,567,85,0.33,0.387,0.257,0,,,156,0.305,0.367
CHW,AL,1972,566,538,87,0.31,0.346,0.238,0,,,154,0.301,0.357
CIN,NL,1972,707,557,95,0.33,0.38,0.251,1,,,154,0.302,0.37
CLE,AL,1972,472,519,72,0.293,0.329,0.234,0,,,156,0.307,0.367
DET,AL,1972,558,514,86,0.305,0.356,0.237,1,,,156,0.3,0.356
HOU,NL,1972,708,636,84,0.326,0.393,0.258,0,,,153,0.319,0.384
KCR,AL,1972,580,545,76,0.327,0.353,0.255,0,,,154,0.303,0.357
LAD,NL,1972,584,527,85,0.319,0.36,0.256,0,,,155,0.286,0.333
MIL,AL,1972,493,595,65,0.302,0.328,0.235,0,,,156,0.309,0.369
MIN,AL,1972,537,535,77,0.31,0.344,0.244,0,,,154,0.29,0.347
MON,NL,1972,513,609,70,0.303,0.325,0.234,0,,,156,0.319,0.374
NYM,NL,1972,528,578,83,0.307,0.332,0.225,0,,,156,0.302,0.363
NYY,AL,1972,557,527,79,0.316,0.357,0.249,0,,,155,0.306,0.358
OAK,AL,1972,604,457,93,0.306,0.366,0.24,1,,,155,0.281,0.334
PHI,NL,1972,503,635,59,0.302,0.344,0.236,0,,,156,0.317,0.379
PIT,NL,1972,691,512,96,0.324,0.397,0.274,1,,,155,0.298,0.349
SDP,NL,1972,488,665,58,0.283,0.332,0.227,0,,,153,0.33,0.391
SFG,NL,1972,662,649,69,0.309,0.384,0.244,0,,,155,0.314,0.383
STL,NL,1972,568,600,75,0.317,0.355,0.26,0,,,156,0.313,0.359
TEX,AL,1972,461,628,54,0.29,0.29,0.217,0,,,154,0.325,0.373
ATL,NL,1971,643,699,82,0.312,0.385,0.257,0,,,162,0.324,0.402
BAL,AL,1971,742,530,101,0.347,0.398,0.261,1,1.0,2.0,158,0.292,0.36
BOS,AL,1971,691,667,85,0.322,0.397,0.252,0,,,162,0.323,0.395
CAL,AL,1971,511,576,76,0.29,0.329,0.231,0,,,162,0.306,0.355
CHC,NL,1971,637,648,83,0.325,0.378,0.258,0,,,162,0.311,0.383
CHW,AL,1971,617,597,79,0.325,0.373,0.25,0,,,162,0.303,0.359
CIN,NL,1971,586,581,79,0.3,0.366,0.241,0,,,162,0.305,0.363
CLE,AL,1971,543,747,60,0.3,0.342,0.238,0,,,162,0.343,0.419
DET,AL,1971,701,645,91,0.325,0.405,0.254,0,,,162,0.321,0.387
HOU,NL,1971,585,567,79,0.302,0.34,0.24,0,,,162,0.303,0.345
KCR,AL,1971,603,566,85,0.313,0.353,0.25,0,,,161,0.309,0.361
LAD,NL,1971,663,587,89,0.325,0.37,0.266,0,,,162,0.297,0.361
MIL,AL,1971,534,609,69,0.304,0.329,0.229,0,,,161,0.318,0.383
MIN,AL,1971,654,670,74,0.323,0.372,0.26,0,,,160,0.322,0.395
MON,NL,1971,622,729,71,0.322,0.343,0.246,0,,,162,0.338,0.407
NYM,NL,1971,588,550,83,0.319,0.351,0.249,0,,,162,0.295,0.345
NYY,AL,1971,648,641,81,0.328,0.36,0.254,0,,,162,0.302,0.368
OAK,AL,1971,691,564,101,0.321,0.384,0.252,1,1.0,3.0,161,0.293,0.357
PHI,NL,1971,558,688,67,0.298,0.35,0.233,0,,,162,0.315,0.385
PIT,NL,1971,788,599,97,0.33,0.416,0.274,1,2.0,1.0,162,0.313,0.37
SDP,NL,1971,486,610,61,0.293,0.332,0.233,0,,,161,0.316,0.365
SFG,NL,1971,706,644,90,0.329,0.378,0.247,1,3.0,3.0,162,0.299,0.366
STL,NL,1971,739,699,90,0.338,0.385,0.275,0,,,163,0.329,0.383
WSA,AL,1971,537,660,63,0.307,0.326,0.23,0,,,159,0.326,0.395
ATL,NL,1970,736,772,76,0.334,0.404,0.27,0,,,162,0.317,0.412
BAL,AL,1970,792,574,108,0.344,0.401,0.257,1,1.0,1.0,162,0.297,0.368
BOS,AL,1970,786,722,87,0.335,0.428,0.262,0,,,162,0.324,0.403
CAL,AL,1970,631,630,86,0.309,0.363,0.251,0,,,162,0.309,0.383
CHC,NL,1970,806,679,84,0.333,0.415,0.259,0,,,162,0.313,0.387
CHW,AL,1970,633,822,56,0.315,0.362,0.253,0,,,162,0.343,0.429
CIN,NL,1970,775,681,102,0.336,0.436,0.27,1,2.0,2.0,162,0.322,0.382
CLE,AL,1970,649,675,76,0.314,0.394,0.249,0,,,162,0.331,0.411
DET,AL,1970,666,731,79,0.322,0.374,0.238,0,,,162,0.332,0.413
HOU,NL,1970,744,763,79,0.332,0.391,0.259,0,,,162,0.333,0.403
KCR,AL,1970,611,705,65,0.309,0.348,0.244,0,,,162,0.323,0.395
LAD,NL,1970,749,684,87,0.334,0.382,0.27,0,,,161,0.311,0.393
MIL,AL,1970,613,751,65,0.319,0.358,0.242,0,,,163,0.325,0.398
MIN,AL,1970,744,605,98,0.327,0.403,0.262,1,3.0,3.0,162,0.305,0.372
MON,NL,1970,687,807,73,0.323,0.365,0.237,0,,,162,0.346,0.427
NYM,NL,1970,695,630,83,0.333,0.37,0.249,0,,,162,0.303,0.365
NYY,AL,1970,680,612,93,0.324,0.365,0.251,0,,,163,0.303,0.371
OAK,AL,1970,678,593,89,0.325,0.392,0.249,0,,,162,0.303,0.371
PHI,NL,1970,594,730,73,0.305,0.356,0.238,0,,,161,0.326,0.397
PIT,NL,1970,729,664,89,0.325,0.406,0.27,1,4.0,3.0,162,0.33,0.385
SDP,NL,1970,681,788,63,0.312,0.391,0.246,0,,,162,0.337,0.411
SFG,NL,1970,831,826,86,0.351,0.409,0.262,0,,,162,0.335,0.415
STL,NL,1970,744,747,76,0.331,0.379,0.263,0,,,162,0.333,0.384
WSA,AL,1970,626,689,70,0.321,0.358,0.238,0,,,162,0.324,0.393
ATL,NL,1969,691,631,93,0.321,0.38,0.258,1,4.0,3.0,162,0.298,0.372
BAL,AL,1969,779,517,109,0.343,0.414,0.265,1,1.0,2.0,162,0.287,0.345
BOS,AL,1969,743,736,87,0.333,0.415,0.251,0,,,162,0.337,0.416
CAL,AL,1969,528,652,71,0.3,0.319,0.23,0,,,163,0.31,0.377
CHC,NL,1969,720,611,92,0.323,0.384,0.253,0,,,163,0.306,0.367
CHW,AL,1969,625,723,68,0.32,0.357,0.247,0,,,162,0.333,0.409
CIN,NL,1969,798,768,89,0.335,0.422,0.277,0,,,163,0.333,0.407
CLE,AL,1969,573,717,62,0.307,0.345,0.237,0,,,161,0.331,0.396
DET,AL,1969,701,601,90,0.316,0.387,0.242,0,,,162,0.306,0.371
HOU,NL,1969,676,668,81,0.33,0.352,0.24,0,,,162,0.315,0.373
KCR,AL,1969,586,688,69,0.309,0.338,0.24,0,,,163,0.312,0.382
LAD,NL,1969,645,561,85,0.315,0.359,0.254,0,,,162,0.296,0.361
MIN,AL,1969,790,618,97,0.34,0.408,0.268,1,3.0,3.0,162,0.31,0.369
MON,NL,1969,582,791,52,0.31,0.359,0.24,0,,,162,0.346,0.419
NYM,NL,1969,632,541,100,0.311,0.351,0.242,1,2.0,1.0,162,0.293,0.35
NYY,AL,1969,562,587,80,0.308,0.344,0.235,0,,,162,0.3,0.36
OAK,AL,1969,740,678,88,0.329,0.376,0.249,0,,,162,0.317,0.398
PHI,NL,1969,645,745,63,0.312,0.372,0.241,0,,,162,0.336,0.407
PIT,NL,1969,725,652,88,0.334,0.398,0.277,0,,,162,0.317,0.37
SDP,NL,1969,468,746,52,0.285,0.329,0.225,0,,,162,0.336,0.395
SEP,AL,1969,639,799,64,0.316,0.346,0.234,0,,,163,0.34,0.424
SFG,NL,1969,713,636,90,0.334,0.361,0.242,0,,,162,0.303,0.365
STL,NL,1969,595,540,87,0.316,0.359,0.253,0,,,162,0.301,0.353
WSA,AL,1969,694,644,86,0.33,0.378,0.251,0,,,162,0.324,0.393
ATL,NL,1968,514,549,81,0.307,0.339,0.252,0,,,163,0.286,0.333
BAL,AL,1968,579,497,91,0.304,0.352,0.225,0,,,162,0.283,0.333
BOS,AL,1968,614,611,86,0.313,0.352,0.236,0,,,162,0.308,0.369
CAL,AL,1968,498,615,67,0.291,0.318,0.227,0,,,162,0.299,0.366
CHC,NL,1968,612,611,84,0.298,0.366,0.242,0,,,163,0.3,0.374
CHW,AL,1968,463,527,67,0.284,0.311,0.228,0,,,162,0.297,0.347
CIN,NL,1968,690,673,83,0.32,0.389,0.273,0,,,163,0.318,0.374
CLE,AL,1968,516,504,86,0.293,0.327,0.234,0,,,162,0.282,0.326
DET,AL,1968,671,492,103,0.307,0.385,0.235,1,1.0,1.0,164,0.281,0.344
HOU,NL,1968,510,588,72,0.298,0.317,0.231,0,,,162,0.306,0.344
LAD,NL,1968,470,509,76,0.289,0.319,0.23,0,,,162,0.293,0.329
MIN,AL,1968,562,546,79,0.299,0.35,0.237,0,,,162,0.284,0.334
NYM,NL,1968,473,499,73,0.281,0.315,0.228,0,,,163,0.286,0.331
NYY,AL,1968,536,531,83,0.292,0.318,0.214,0,,,164,0.292,0.345
OAK,AL,1968,569,544,82,0.304,0.343,0.24,0,,,163,0.292,0.351
PHI,NL,1968,543,615,76,0.294,0.333,0.233,0,,,162,0.309,0.362
PIT,NL,1968,583,532,80,0.306,0.343,0.252,0,,,163,0.3,0.34
SFG,NL,1968,599,529,88,0.307,0.341,0.239,0,,,163,0.279,0.324
STL,NL,1968,583,472,97,0.298,0.346,0.249,1,2.0,2.0,162,0.281,0.325
WSA,AL,1968,524,665,65,0.287,0.336,0.224,0,,,161,0.319,0.384
ATL,NL,1967,631,640,77,0.307,0.372,0.24,0,,,162,0.306,0.366
BAL,AL,1967,654,592,76,0.31,0.372,0.24,0,,,161,0.3,0.36
BOS,AL,1967,722,614,92,0.321,0.395,0.255,1,2.0,2.0,162,0.3,0.372
CAL,AL,1967,567,587,84,0.301,0.349,0.238,0,,,161,0.304,0.365
CHC,NL,1967,702,624,87,0.316,0.378,0.251,0,,,162,0.303,0.373
CHW,AL,1967,531,491,89,0.291,0.32,0.225,0,,,162,0.283,0.327
CIN,NL,1967,604,563,87,0.297,0.372,0.248,0,,,162,0.303,0.356
CLE,AL,1967,559,613,75,0.293,0.359,0.235,0,,,162,0.301,0.36
DET,AL,1967,683,587,91,0.325,0.376,0.243,0,,,163,0.292,0.37
HOU,NL,1967,626,742,69,0.317,0.364,0.249,0,,,162,0.318,0.383
KCA,AL,1967,533,660,62,0.296,0.33,0.233,0,,,161,0.309,0.372
LAD,NL,1967,519,595,73,0.301,0.332,0.236,0,,,162,0.302,0.35
MIN,AL,1967,671,590,91,0.309,0.369,0.24,0,,,164,0.293,0.354
NYM,NL,1967,498,672,61,0.288,0.325,0.238,0,,,162,0.317,0.379
NYY,AL,1967,522,621,72,0.296,0.317,0.225,0,,,163,0.306,0.363
PHI,NL,1967,612,581,82,0.313,0.357,0.242,0,,,162,0.301,0.347
PIT,NL,1967,679,693,81,0.324,0.38,0.277,0,,,163,0.326,0.382
SFG,NL,1967,652,551,91,0.313,0.372,0.245,0,,,162,0.29,0.344
STL,NL,1967,695,557,101,0.32,0.379,0.263,1,1.0,1.0,161,0.294,0.344
WSA,AL,1967,550,637,76,0.288,0.326,0.223,0,,,161,0.304,0.362
ATL,NL,1966,782,683,85,0.326,0.424,0.263,0,,,163,0.313,0.38
BAL,AL,1966,755,601,97,0.324,0.409,0.258,1,1.0,1.0,160,0.298,0.364
BOS,AL,1966,655,731,72,0.31,0.376,0.24,0,,,162,0.321,0.401
CAL,AL,1966,604,643,80,0.303,0.354,0.232,0,,,162,0.314,0.385
CHC,NL,1966,644,809,59,0.313,0.38,0.254,0,,,162,0.322,0.413
CHW,AL,1966,574,517,83,0.297,0.331,0.231,0,,,163,0.279,0.331
CIN,NL,1966,692,702,76,0.309,0.395,0.26,0,,,160,0.318,0.397
CLE,AL,1966,574,586,81,0.297,0.36,0.237,0,,,162,0.294,0.359
DET,AL,1966,719,698,88,0.321,0.406,0.251,0,,,162,0.311,0.404
HOU,NL,1966,612,695,72,0.318,0.365,0.255,0,,,163,0.309,0.381
KCA,AL,1966,564,648,74,0.294,0.337,0.236,0,,,160,0.32,0.372
LAD,NL,1966,606,490,95,0.314,0.362,0.256,1,2.0,2.0,162,0.281,0.327
MIN,AL,1966,663,581,89,0.316,0.382,0.249,0,,,162,0.282,0.356
NYM,NL,1966,587,761,66,0.301,0.342,0.239,0,,,161,0.332,0.419
NYY,AL,1966,611,612,70,0.299,0.374,0.235,0,,,160,0.302,0.369
PHI,NL,1966,696,640,87,0.322,0.378,0.258,0,,,162,0.312,0.385
PIT,NL,1966,759,641,92,0.329,0.428,0.279,0,,,162,0.317,0.385
SFG,NL,1966,675,626,93,0.303,0.392,0.248,0,,,161,0.289,0.361
STL,NL,1966,571,577,83,0.298,0.368,0.251,0,,,162,0.302,0.367
WSA,AL,1966,557,659,71,0.295,0.355,0.234,0,,,159,0.298,0.376
BAL,AL,1965,641,578,94,0.307,0.363,0.238,0,,,162,0.296,0.357
BOS,AL,1965,669,791,62,0.327,0.4,0.251,0,,,162,0.323,0.404
CAL,AL,1965,527,569,75,0.297,0.341,0.239,0,,,162,0.307,0.355
CHC,NL,1965,635,723,72,0.307,0.358,0.238,0,,,164,0.316,0.393
CHW,AL,1965,647,555,95,0.315,0.364,0.246,0,,,162,0.289,0.348
CIN,NL,1965,825,704,89,0.339,0.439,0.273,0,,,162,0.319,0.389
CLE,AL,1965,663,613,87,0.315,0.379,0.25,0,,,162,0.295,0.359
DET,AL,1965,680,602,89,0.312,0.374,0.238,0,,,162,0.302,0.371
HOU,NL,1965,569,711,65,0.305,0.34,0.237,0,,,162,0.306,0.372
KCA,AL,1965,585,755,59,0.309,0.358,0.24,0,,,162,0.325,0.406
LAD,NL,1965,608,521,97,0.312,0.335,0.245,1,2.0,1.0,162,0.279,0.342
MIN,AL,1965,774,600,102,0.324,0.399,0.254,1,1.0,2.0,162,0.297,0.38
MLN,NL,1965,708,633,86,0.31,0.416,0.256,0,,,162,0.312,0.375
NYM,NL,1965,495,752,50,0.277,0.327,0.221,0,,,164,0.322,0.401
NYY,AL,1965,611,604,77,0.299,0.364,0.235,0,,,162,0.307,0.373
PHI,NL,1965,654,667,85,0.313,0.384,0.25,0,,,162,0.314,0.375
PIT,NL,1965,675,580,90,0.317,0.382,0.265,0,,,163,0.3,0.348
SFG,NL,1965,682,593,95,0.313,0.385,0.252,0,,,163,0.291,0.359
STL,NL,1965,707,674,80,0.314,0.371,0.254,0,,,162,0.311,0.394
WSA,AL,1965,591,721,70,0.304,0.35,0.228,0,,,162,0.329,0.408
BAL,AL,1964,679,567,97,0.316,0.387,0.248,0,,,163,0.298,0.363
BOS,AL,1964,688,793,72,0.322,0.416,0.258,0,,,162,0.332,0.424
CHC,NL,1964,649,724,76,0.314,0.39,0.251,0,,,162,0.317,0.394
CHW,AL,1964,642,501,98,0.32,0.353,0.247,0,,,162,0.279,0.343
CIN,NL,1964,660,566,92,0.308,0.372,0.249,0,,,163,0.293,0.352
CLE,AL,1964,689,693,79,0.312,0.38,0.247,0,,,164,0.32,0.396
DET,AL,1964,699,678,85,0.319,0.395,0.253,0,,,163,0.312,0.396
HOU,NL,1964,495,628,66,0.285,0.315,0.229,0,,,162,0.301,0.361
KCA,AL,1964,621,836,57,0.311,0.379,0.239,0,,,163,0.34,0.448
LAA,AL,1964,544,551,82,0.304,0.344,0.242,0,,,162,0.306,0.358
LAD,NL,1964,614,572,80,0.305,0.34,0.25,0,,,164,0.288,0.332
MIN,AL,1964,737,678,79,0.322,0.427,0.252,0,,,163,0.308,0.395
MLN,NL,1964,803,744,88,0.333,0.418,0.272,0,,,162,0.311,0.394
NYM,NL,1964,569,776,53,0.296,0.348,0.246,0,,,163,0.327,0.402
NYY,AL,1964,730,577,99,0.317,0.387,0.253,1,1.0,2.0,164,0.295,0.36
PHI,NL,1964,693,632,92,0.315,0.391,0.258,0,,,162,0.307,0.375
PIT,NL,1964,663,636,80,0.315,0.389,0.264,0,,,162,0.316,0.367
SFG,NL,1964,656,587,90,0.31,0.382,0.246,0,,,162,0.301,0.36
STL,NL,1964,715,652,93,0.324,0.392,0.272,1,2.0,1.0,162,0.303,0.375
WSA,AL,1964,578,733,62,0.299,0.348,0.231,0,,,162,0.318,0.406
BAL,AL,1963,644,621,86,0.31,0.38,0.249,0,,,162,0.31,0.38
BOS,AL,1963,666,704,76,0.312,0.4,0.252,0,,,161,0.312,0.388
CHC,NL,1963,570,578,82,0.297,0.363,0.238,0,,,162,0.297,0.363
CHW,AL,1963,683,544,94,0.323,0.365,0.25,0,,,162,0.294,0.349
CIN,NL,1963,648,594,86,0.31,0.371,0.246,0,,,162,0.297,0.362
CLE,AL,1963,635,702,79,0.301,0.381,0.239,0,,,162,0.305,0.392
DET,AL,1963,700,703,79,0.327,0.382,0.252,0,,,162,0.311,0.41
HOU,NL,1963,464,640,66,0.283,0.301,0.22,0,,,162,0.291,0.346
KCA,AL,1963,615,704,73,0.313,0.353,0.247,0,,,162,0.32,0.401
LAA,AL,1963,597,660,70,0.309,0.354,0.25,0,,,161,0.314,0.375
LAD,NL,1963,640,550,99,0.309,0.357,0.251,1,2.0,1.0,163,0.29,0.347
MIN,AL,1963,767,602,91,0.325,0.43,0.255,0,,,161,0.299,0.383
MLN,NL,1963,677,603,84,0.312,0.37,0.244,0,,,163,0.301,0.373
NYM,NL,1963,501,774,51,0.285,0.315,0.219,0,,,162,0.327,0.413
NYY,AL,1963,714,547,104,0.309,0.403,0.252,1,1.0,2.0,161,0.292,0.355
PHI,NL,1963,642,578,87,0.306,0.381,0.252,0,,,162,0.305,0.362
PIT,NL,1963,567,595,74,0.309,0.359,0.25,0,,,162,0.306,0.357
SFG,NL,1963,725,641,88,0.316,0.414,0.258,0,,,162,0.303,0.367
STL,NL,1963,747,628,93,0.326,0.403,0.271,0,,,162,0.3,0.366
WSA,AL,1963,578,812,56,0.293,0.351,0.227,0,,,162,0.327,0.417
BAL,AL,1962,652,680,77,0.314,0.387,0.248,0,,,162,0.314,0.389
BOS,AL,1962,707,756,76,0.324,0.403,0.258,0,,,160,0.333,0.417
CHC,NL,1962,632,827,59,0.317,0.377,0.253,0,,,162,0.342,0.424
CHW,AL,1962,707,658,85,0.334,0.372,0.257,0,,,162,0.314,0.38
CIN,NL,1962,802,685,98,0.332,0.417,0.27,0,,,162,0.322,0.4
CLE,AL,1962,682,745,80,0.312,0.388,0.245,0,,,162,0.328,0.417
DET,AL,1962,758,692,85,0.33,0.411,0.248,0,,,161,0.318,0.406
HOU,NL,1962,592,717,64,0.31,0.351,0.246,0,,,162,0.316,0.381
KCA,AL,1962,745,837,72,0.332,0.386,0.263,0,,,162,0.34,0.441
LAA,AL,1962,718,706,86,0.325,0.38,0.25,0,,,162,0.326,0.388
LAD,NL,1962,842,697,102,0.337,0.4,0.268,0,,,165,0.314,0.371
MIN,AL,1962,798,713,91,0.338,0.412,0.26,0,,,163,0.314,0.399
MLN,NL,1962,730,665,86,0.326,0.403,0.252,0,,,162,0.311,0.393
NYM,NL,1962,617,948,40,0.318,0.361,0.24,0,,,161,0.346,0.446
NYY,AL,1962,817,680,96,0.337,0.426,0.267,1,2.0,1.0,162,0.307,0.383
PHI,NL,1962,705,759,81,0.33,0.39,0.26,0,,,161,0.337,0.42
PIT,NL,1962,706,626,93,0.321,0.394,0.268,0,,,161,0.317,0.381
SFG,NL,1962,878,690,103,0.341,0.441,0.278,1,1.0,2.0,165,0.311,0.387
STL,NL,1962,774,664,84,0.335,0.394,0.271,0,,,163,0.314,0.391
WSA,AL,1962,599,716,60,0.308,0.373,0.25,0,,,162,0.324,0.402
